index,Entity,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%)
112,Andean Latin America,1990,0.195471,0.870564,0.28782,4.217677,0.608921,2.621781,1.748912
113,Andean Latin America,1991,0.195484,0.870876,0.289362,4.220261,0.610489,2.631717,1.74391
114,Andean Latin America,1992,0.195497,0.871174,0.290563,4.222587,0.61199,2.639932,1.738703
115,Andean Latin America,1993,0.195523,0.871482,0.291833,4.224721,0.613995,2.646096,1.733697
116,Andean Latin America,1994,0.195569,0.871823,0.293111,4.22669,0.616448,2.651022,1.729266
117,Andean Latin America,1995,0.195637,0.872183,0.294516,4.228382,0.618524,2.654853,1.725643
118,Andean Latin America,1996,0.195697,0.872538,0.296237,4.22997,0.621587,2.655507,1.720921
119,Andean Latin America,1997,0.195735,0.872875,0.297929,4.23153,0.625305,2.651463,1.713773
120,Andean Latin America,1998,0.195762,0.873185,0.30013,4.232913,0.630321,2.647156,1.705295
121,Andean Latin America,1999,0.195791,0.873444,0.301996,4.23405,0.634339,2.641998,1.696533
122,Andean Latin America,2000,0.195846,0.87368,0.303785,4.235025,0.637898,2.637569,1.688634
123,Andean Latin America,2001,0.19598,0.874077,0.30527,4.23676,0.641963,2.635002,1.67907
124,Andean Latin America,2002,0.196207,0.874751,0.307078,4.239842,0.647797,2.633393,1.666052
125,Andean Latin America,2003,0.196494,0.875595,0.308966,4.24371,0.653638,2.632178,1.651636
126,Andean Latin America,2004,0.196796,0.87647,0.311293,4.247765,0.659596,2.630632,1.637763
127,Andean Latin America,2005,0.197041,0.877108,0.314079,4.250725,0.663047,2.62875,1.626136
128,Andean Latin America,2006,0.197327,0.877579,0.317318,4.252879,0.665252,2.624309,1.616266
129,Andean Latin America,2007,0.197746,0.878118,0.321958,4.255352,0.667873,2.618405,1.606861
130,Andean Latin America,2008,0.198219,0.878658,0.326929,4.257756,0.669442,2.612098,1.598278
131,Andean Latin America,2009,0.198671,0.879161,0.331577,4.259968,0.670636,2.607964,1.590828
132,Andean Latin America,2010,0.199013,0.879538,0.335297,4.261602,0.672224,2.605637,1.584707
133,Andean Latin America,2011,0.199295,0.879847,0.337862,4.262846,0.672666,2.605285,1.578811
134,Andean Latin America,2012,0.199608,0.880161,0.340893,4.26397,0.672323,2.604584,1.572009
135,Andean Latin America,2013,0.199948,0.880485,0.34413,4.265012,0.670737,2.60518,1.564438
136,Andean Latin America,2014,0.200312,0.880817,0.347463,4.265928,0.669069,2.604564,1.556634
137,Andean Latin America,2015,0.200693,0.881143,0.350127,4.266704,0.667189,2.605462,1.548874
138,Andean Latin America,2016,0.201079,0.881435,0.352935,4.267248,0.664815,2.606721,1.541201
139,Andean Latin America,2017,0.201471,0.881737,0.355475,4.267738,0.661481,2.610385,1.533573
280,Australasia,1990,0.357272,1.139509,0.688709,6.814156,2.128077,4.543521,1.404956
281,Australasia,1991,0.357778,1.14242,0.691371,6.814689,2.178211,4.587576,1.440458
282,Australasia,1992,0.358273,1.145166,0.693961,6.816471,2.224164,4.625287,1.472932
283,Australasia,1993,0.35872,1.14757,0.698179,6.818327,2.261818,4.658598,1.501013
284,Australasia,1994,0.359051,1.149378,0.702619,6.818651,2.290779,4.68352,1.523157
285,Australasia,1995,0.359224,1.150421,0.70735,6.816059,2.309022,4.700494,1.538014
286,Australasia,1996,0.359349,1.150996,0.714312,6.812276,2.31962,4.705471,1.544797
287,Australasia,1997,0.359567,1.15159,0.724977,6.81006,2.329014,4.702966,1.545275
288,Australasia,1998,0.359836,1.152157,0.738296,6.809245,2.338023,4.692476,1.542304
289,Australasia,1999,0.360103,1.152669,0.751761,6.8099,2.343375,4.686345,1.538514
290,Australasia,2000,0.360333,1.153121,0.764557,6.812291,2.343893,4.690507,1.536482
291,Australasia,2001,0.36069,1.153826,0.778788,6.840198,2.322332,4.7074,1.527198
292,Australasia,2002,0.361262,1.154949,0.796081,6.902274,2.27142,4.733244,1.505531
293,Australasia,2003,0.361901,1.156228,0.81539,6.975891,2.206237,4.764805,1.479998
294,Australasia,2004,0.36243,1.157335,0.832908,7.037718,2.143417,4.787985,1.458974
295,Australasia,2005,0.362692,1.157933,0.844886,7.064532,2.101478,4.794999,1.450884
296,Australasia,2006,0.362635,1.158176,0.855296,7.053434,2.074567,4.788031,1.459231
297,Australasia,2007,0.362396,1.158401,0.86446,7.023575,2.044542,4.769263,1.47809
298,Australasia,2008,0.362079,1.158563,0.872634,6.986595,2.018358,4.742923,1.501923
299,Australasia,2009,0.3618,1.158653,0.879941,6.954135,2.002731,4.718049,1.525189
300,Australasia,2010,0.361661,1.158571,0.88464,6.937078,2.001507,4.696325,1.542304
301,Australasia,2011,0.361582,1.158264,0.888601,6.930864,2.01336,4.679037,1.554373
302,Australasia,2012,0.361429,1.157693,0.892744,6.923868,2.034093,4.659611,1.565849
303,Australasia,2013,0.361209,1.156875,0.896443,6.916193,2.065106,4.634489,1.576682
304,Australasia,2014,0.360933,1.155825,0.899459,6.90815,2.103904,4.6113,1.586866
305,Australasia,2015,0.36062,1.154582,0.901627,6.899991,2.152178,4.58355,1.596388
306,Australasia,2016,0.360303,1.15324,0.903112,6.892254,2.209542,4.553466,1.605377
307,Australasia,2017,0.359991,1.15179,0.903106,6.884913,2.276766,4.524689,1.613586
1008,Caribbean,1990,0.193353,0.892215,0.237873,4.552197,0.731988,3.338749,1.638
1009,Caribbean,1991,0.193261,0.892355,0.236092,4.556013,0.73754,3.344202,1.643247
1010,Caribbean,1992,0.193168,0.89242,0.234706,4.559185,0.743024,3.344391,1.647712
1011,Caribbean,1993,0.193079,0.892409,0.233767,4.561675,0.747247,3.342882,1.651439
1012,Caribbean,1994,0.193004,0.89232,0.233146,4.563304,0.750577,3.338455,1.654505
1013,Caribbean,1995,0.192945,0.892139,0.23274,4.563882,0.752325,3.331546,1.656928
1014,Caribbean,1996,0.192873,0.89185,0.232821,4.562894,0.75263,3.319607,1.658346
1015,Caribbean,1997,0.192777,0.891488,0.233489,4.560618,0.751169,3.301736,1.65879
1016,Caribbean,1998,0.192672,0.891056,0.234253,4.557776,0.749196,3.279424,1.658504
1017,Caribbean,1999,0.192574,0.890561,0.235272,4.555091,0.747427,3.257268,1.657684
1018,Caribbean,2000,0.192507,0.890035,0.236044,4.553336,0.746064,3.236526,1.656587
1019,Caribbean,2001,0.192492,0.889515,0.236901,4.552435,0.745625,3.217038,1.654634
1020,Caribbean,2002,0.192521,0.889009,0.238082,4.551744,0.745733,3.198076,1.651742
1021,Caribbean,2003,0.192563,0.888501,0.239667,4.551151,0.74527,3.179615,1.648704
1022,Caribbean,2004,0.192599,0.887992,0.241113,4.550712,0.74497,3.163253,1.64635
1023,Caribbean,2005,0.192605,0.887464,0.242507,4.550332,0.743675,3.149348,1.645534
1024,Caribbean,2006,0.192685,0.887004,0.244009,4.550174,0.741453,3.136518,1.648063
