6468,Entity,Code,Year,Prevalence in males (%),Prevalence in females (%),Population,Continent
37327,North America,North America,1990,3.491386,5.679378,279784992.000000,
37328,North America,North America,1991,3.478716,5.66486,282552000.000000,
37329,North America,North America,1992,3.47123,5.659387,285340000.000000,
37330,North America,North America,1993,3.467844,5.659574,288204992.000000,
37331,North America,North America,1994,3.467367,5.663534,291227008.000000,
37332,North America,North America,1995,3.468319,5.667424,294454016.000000,
37333,North America,North America,1996,3.471725,5.688083,297919008.000000,
37334,North America,North America,1997,3.477417,5.733078,301582016.000000,
37335,North America,North America,1998,3.483428,5.787558,305324000.000000,
37336,North America,North America,1999,3.489225,5.837494,308977984.000000,
37337,North America,North America,2000,3.491704,5.866954,312427008.000000,
37338,North America,North America,2001,3.489416,5.880098,315616000.000000,
37339,North America,North America,2002,3.481246,5.890361,318585984.000000,
37340,North America,North America,2003,3.47109,5.899514,321432000.000000,
37341,North America,North America,2004,3.462474,5.907869,324299008.000000,
37342,North America,North America,2005,3.459099,5.917463,327287008.000000,
37343,North America,North America,2006,3.457963,5.918742,330424992.000000,
37344,North America,North America,2007,3.454022,5.90668,333668000.000000,
37345,North America,North America,2008,3.449743,5.889244,336952992.000000,
37346,North America,North America,2009,3.44544,5.871962,340182016.000000,
37347,North America,North America,2010,3.442357,5.865837,343287008.000000,
37348,North America,North America,2011,3.441792,5.868132,346251008.000000,
37349,North America,North America,2012,3.443028,5.873724,349092992.000000,
37350,North America,North America,2013,3.446424,5.884457,351824000.000000,
37351,North America,North America,2014,3.451827,5.899002,354464000.000000,
37352,North America,North America,2015,3.459001,5.919654,357031008.000000,
37353,North America,North America,2016,3.467918,5.945508,359524992.000000,
37354,North America,North America,2017,3.47957,5.978731,361942016.000000,
37987,Oceania,Oceania,1990,2.668403,3.645356,27299000.000000,
37988,Oceania,Oceania,1991,2.680569,3.656025,27725000.000000,
37989,Oceania,Oceania,1992,2.69372,3.666214,28148000.000000,
37990,Oceania,Oceania,1993,2.704185,3.674603,28566000.000000,
37991,Oceania,Oceania,1994,2.710259,3.680595,28980000.000000,
37992,Oceania,Oceania,1995,2.713498,3.683638,29390000.000000,
37993,Oceania,Oceania,1996,2.713741,3.682679,29796000.000000,
37994,Oceania,Oceania,1997,2.713025,3.680143,30202000.000000,
37995,Oceania,Oceania,1998,2.712424,3.676294,30607000.000000,
37996,Oceania,Oceania,1999,2.710132,3.672259,31014000.000000,
37997,Oceania,Oceania,2000,2.707195,3.669307,31425000.000000,
37998,Oceania,Oceania,2001,2.704279,3.668365,31838000.000000,
37999,Oceania,Oceania,2002,2.699324,3.666942,32255000.000000,
38000,Oceania,Oceania,2003,2.695135,3.664449,32691000.000000,
38001,Oceania,Oceania,2004,2.69083,3.663465,33166000.000000,
38002,Oceania,Oceania,2005,2.689763,3.662167,33690000.000000,
38003,Oceania,Oceania,2006,2.693738,3.663418,34271000.000000,
38004,Oceania,Oceania,2007,2.703832,3.66379,34901000.000000,
38005,Oceania,Oceania,2008,2.714907,3.667374,35561000.000000,
38006,Oceania,Oceania,2009,2.724075,3.667569,36225000.000000,
38007,Oceania,Oceania,2010,2.728258,3.668795,36873000.000000,
38008,Oceania,Oceania,2011,2.729233,3.668258,37498000.000000,
38009,Oceania,Oceania,2012,2.7304,3.666234,38105000.000000,
38010,Oceania,Oceania,2013,2.728581,3.664793,38696000.000000,
38011,Oceania,Oceania,2014,2.72559,3.65875,39279000.000000,
38012,Oceania,Oceania,2015,2.722634,3.654436,39859000.000000,
38013,Oceania,Oceania,2016,2.718215,3.648936,40436000.000000,
38014,Oceania,Oceania,2017,2.710384,3.641926,41006000.000000,
53586,World,OWID_WRL,1990,2.741715,4.312923,5327230976.000000,
53587,World,OWID_WRL,1991,2.747003,4.316716,5414288896.000000,
53588,World,OWID_WRL,1992,2.751733,4.318687,5498919936.000000,
53589,World,OWID_WRL,1993,2.75595,4.317938,5581598208.000000,
53590,World,OWID_WRL,1994,2.759427,4.315066,5663150080.000000,
53591,World,OWID_WRL,1995,2.761326,4.309055,5744212992.000000,
53592,World,OWID_WRL,1996,2.763429,4.301092,5824891904.000000,
53593,World,OWID_WRL,1997,2.766176,4.292287,5905046016.000000,
53594,World,OWID_WRL,1998,2.768874,4.283117,5984794112.000000,
53595,World,OWID_WRL,1999,2.771375,4.275424,6064239104.000000,
53596,World,OWID_WRL,2000,2.772557,4.268734,6143494144.000000,
53597,World,OWID_WRL,2001,2.773596,4.26478,6222626816.000000,
53598,World,OWID_WRL,2002,2.774886,4.262427,6301772800.000000,
53599,World,OWID_WRL,2003,2.776177,4.260827,6381185024.000000,
53600,World,OWID_WRL,2004,2.777318,4.259312,6461158912.000000,
53601,World,OWID_WRL,2005,2.776603,4.256255,6541906944.000000,
53602,World,OWID_WRL,2006,2.770271,4.242265,6623518208.000000,
53603,World,OWID_WRL,2007,2.757461,4.213515,6705947136.000000,
53604,World,OWID_WRL,2008,2.742357,4.179898,6789088768.000000,
53605,World,OWID_WRL,2009,2.729589,4.150964,6872766976.000000,
53606,World,OWID_WRL,2010,2.723351,4.136691,6956824064.000000,
53607,World,OWID_WRL,2011,2.72288,4.133947,7041193984.000000,
53608,World,OWID_WRL,2012,2.722926,4.131322,7125828096.000000,
53609,World,OWID_WRL,2013,2.723166,4.128892,7210582016.000000,
53610,World,OWID_WRL,2014,2.724047,4.127143,7295290880.000000,
53611,World,OWID_WRL,2015,2.725111,4.125315,7379796992.000000,
53612,World,OWID_WRL,2016,2.727239,4.124259,7464022016.000000,
53613,World,OWID_WRL,2017,2.730133,4.124307,7547858944.000000,
