54276,Entity,Year,"Suicide rate (deaths per 100,000 individuals)","Depressive disorder rates (number suffering per 100,000)",Population
85135,North America,1990,12.217125,4217.040912,279784992.0
85136,North America,1991,12.183387,4200.839213,282552000.0
85137,North America,1992,12.041663,4191.144897,285340000.0
85138,North America,1993,12.274062,4186.181233,288204992.0
85139,North America,1994,12.213649,4184.721173,291227008.0
85140,North America,1995,12.15319,4184.366745,294454016.0
85141,North America,1996,11.855562,4193.15311,297919008.0
85142,North America,1997,11.582661,4214.173196,301582016.0
85143,North America,1998,11.315412,4239.786882,305324000.0
85144,North America,1999,11.111052,4263.604554,308977984.0
85145,North America,2000,11.055369,4277.047854,312427008.0
85146,North America,2001,11.190609,4280.826611,315616000.0
85147,North America,2002,11.36152,4280.214965,318585984.0
85148,North America,2003,11.425184,4278.111054,321432000.0
85149,North America,2004,11.293314,4276.659468,324299008.0
85150,North America,2005,11.520712,4278.79615,327287008.0
85151,North America,2006,11.5954,4278.876521,330424992.0
85152,North America,2007,11.637078,4272.020208,333668000.0
85153,North America,2008,11.712186,4262.76534,336952992.0
85154,North America,2009,11.772011,4253.733769,340182016.0
85155,North America,2010,11.66933,4250.284779,343287008.0
85156,North America,2011,11.820524,4251.798878,346251008.0
85157,North America,2012,11.888994,4255.589754,349092992.0
85158,North America,2013,11.917015,4262.674262,351824000.0
85159,North America,2014,12.089906,4272.42228,354464000.0
85160,North America,2015,12.384749,4285.774331,357031008.0
85161,North America,2016,12.662208,4302.308589,359524992.0
85162,North America,2017,12.640469,4323.502036,361942016.0
85795,Oceania,1990,24.493741,3101.947491,27299000.0
85796,Oceania,1991,24.358795,3113.18494,27725000.0
85797,Oceania,1992,24.149089,3124.74391,28148000.0
85798,Oceania,1993,23.897547,3134.07373,28566000.0
85799,Oceania,1994,23.590541,3139.93539,28980000.0
85800,Oceania,1995,23.327311,3142.947642,29390000.0
85801,Oceania,1996,23.024996,3142.473568,29796000.0
85802,Oceania,1997,22.77019,3140.6519,30202000.0
85803,Oceania,1998,22.525414,3138.176957,30607000.0
85804,Oceania,1999,22.339217,3134.693338,31014000.0
85805,Oceania,2000,22.117493,3131.477643,31425000.0
85806,Oceania,2001,22.018575,3129.244689,31838000.0
85807,Oceania,2002,21.997186,3125.642431,32255000.0
85808,Oceania,2003,22.033939,3121.809044,32691000.0
85809,Oceania,2004,22.015895,3118.584387,33166000.0
85810,Oceania,2005,22.024182,3116.844969,33690000.0
85811,Oceania,2006,22.041492,3118.746525,34271000.0
85812,Oceania,2007,22.05434,3123.158558,34901000.0
85813,Oceania,2008,22.050617,3129.409619,35561000.0
85814,Oceania,2009,21.932424,3133.140683,36225000.0
85815,Oceania,2010,21.896459,3135.148688,36873000.0
85816,Oceania,2011,21.821704,3134.993755,37498000.0
85817,Oceania,2012,21.725303,3134.243872,38105000.0
85818,Oceania,2013,21.586533,3132.339188,38696000.0
85819,Oceania,2014,21.439859,3127.649924,39279000.0
85820,Oceania,2015,21.325065,3123.843726,39859000.0
85821,Oceania,2016,21.172816,3118.776078,40436000.0
85822,Oceania,2017,21.064787,3111.280166,41006000.0
101394,World,1990,15.432462,3435.480451,5327230976.0
101395,World,1991,15.519153,3437.95805,5414288896.0
101396,World,1992,15.754969,3439.389793,5498919936.0
101397,World,1993,15.980498,3439.410458,5581598208.0
101398,World,1994,16.057812,3438.295408,5663150080.0
101399,World,1995,15.905088,3435.355822,5744212992.0
101400,World,1996,15.418113,3431.724688,5824891904.0
101401,World,1997,15.045786,3427.89564,5905046016.0
101402,World,1998,14.720006,3423.900498,5984794112.0
101403,World,1999,14.505848,3420.620519,6064239104.0
101404,World,2000,14.095734,3417.37445,6143494144.0
101405,World,2001,13.416016,3415.075161,6222626816.0
101406,World,2002,12.988635,3413.074106,6301772800.0
101407,World,2003,12.804718,3411.161379,6381185024.0
101408,World,2004,12.602448,3409.339025,6461158912.0
101409,World,2005,12.488875,3406.630491,6541906944.0
101410,World,2006,12.040679,3396.072505,6623518208.0
101411,World,2007,11.712701,3374.631971,6705947136.0
101412,World,2008,11.554691,3349.562608,6789088768.0
101413,World,2009,11.36896,3328.016475,6872766976.0
101414,World,2010,11.23818,3317.418913,6956824064.0
101415,World,2011,11.015417,3315.556267,7041193984.0
101416,World,2012,10.726284,3313.853408,7125828096.0
101417,World,2013,10.45102,3312.16642,7210582016.0
101418,World,2014,10.311362,3310.886786,7295290880.0
101419,World,2015,10.158488,3309.596967,7379796992.0
101420,World,2016,10.068275,3308.903794,7464022016.0
101421,World,2017,9.976258,3309.069483,7547858944.0
