102084,Entity,Code,Year,Prevalence - Depressive disorders - Sex: Both - Age: All Ages (Number) (people suffering from depression),Continent
102197,Andean Latin America,Andean Latin America,1990,798341.643594,
102198,Andean Latin America,Andean Latin America,1991,823353.301966,
102199,Andean Latin America,Andean Latin America,1992,848018.264966,
102200,Andean Latin America,Andean Latin America,1993,872335.250798,
102201,Andean Latin America,Andean Latin America,1994,896512.665564,
102202,Andean Latin America,Andean Latin America,1995,921007.071278,
102203,Andean Latin America,Andean Latin America,1996,944797.028038,
102204,Andean Latin America,Andean Latin America,1997,966954.50003,
102205,Andean Latin America,Andean Latin America,1998,989197.603755,
102206,Andean Latin America,Andean Latin America,1999,1011358.92634,
102207,Andean Latin America,Andean Latin America,2000,1034505.73887,
102208,Andean Latin America,Andean Latin America,2001,1059000.33303,
102209,Andean Latin America,Andean Latin America,2002,1083738.42218,
102210,Andean Latin America,Andean Latin America,2003,1108454.03031,
102211,Andean Latin America,Andean Latin America,2004,1133029.77917,
102212,Andean Latin America,Andean Latin America,2005,1157777.84536,
102213,Andean Latin America,Andean Latin America,2006,1181776.16407,
102214,Andean Latin America,Andean Latin America,2007,1205206.39488,
102215,Andean Latin America,Andean Latin America,2008,1228421.60021,
102216,Andean Latin America,Andean Latin America,2009,1252807.19451,
102217,Andean Latin America,Andean Latin America,2010,1278739.21901,
102218,Andean Latin America,Andean Latin America,2011,1307082.83629,
102219,Andean Latin America,Andean Latin America,2012,1337072.24316,
102220,Andean Latin America,Andean Latin America,2013,1370141.06868,
102221,Andean Latin America,Andean Latin America,2014,1402509.33366,
102222,Andean Latin America,Andean Latin America,2015,1434280.11209,
102223,Andean Latin America,Andean Latin America,2016,1464576.86314,
102224,Andean Latin America,Andean Latin America,2017,1497247.00036,
102365,Australasia,Australasia,1990,889079.254885,
102366,Australasia,Australasia,1991,907841.353423,
102367,Australasia,Australasia,1992,925243.751797,
102368,Australasia,Australasia,1993,941581.239476,
102369,Australasia,Australasia,1994,956175.976499,
102370,Australasia,Australasia,1995,969545.140757,
102371,Australasia,Australasia,1996,980786.957366,
102372,Australasia,Australasia,1997,990339.390399,
102373,Australasia,Australasia,1998,998721.432053,
102374,Australasia,Australasia,1999,1008423.89956,
102375,Australasia,Australasia,2000,1020929.58297,
102376,Australasia,Australasia,2001,1036770.46406,
102377,Australasia,Australasia,2002,1055306.79429,
102378,Australasia,Australasia,2003,1075969.53005,
102379,Australasia,Australasia,2004,1095959.65514,
102380,Australasia,Australasia,2005,1113582.43631,
102381,Australasia,Australasia,2006,1128515.36611,
102382,Australasia,Australasia,2007,1140440.05055,
102383,Australasia,Australasia,2008,1150344.89338,
102384,Australasia,Australasia,2009,1160700.4316,
102385,Australasia,Australasia,2010,1172021.72691,
102386,Australasia,Australasia,2011,1184478.18295,
102387,Australasia,Australasia,2012,1196391.92323,
102388,Australasia,Australasia,2013,1207026.44255,
102389,Australasia,Australasia,2014,1217965.84863,
102390,Australasia,Australasia,2015,1227540.87313,
102391,Australasia,Australasia,2016,1235981.42054,
102392,Australasia,Australasia,2017,1244063.93564,
103093,Caribbean,Caribbean,1990,1052579.05442,
103094,Caribbean,Caribbean,1991,1072599.67763,
103095,Caribbean,Caribbean,1992,1091208.08966,
103096,Caribbean,Caribbean,1993,1109268.429,
103097,Caribbean,Caribbean,1994,1126348.11551,
103098,Caribbean,Caribbean,1995,1143023.97146,
103099,Caribbean,Caribbean,1996,1158395.661,
103100,Caribbean,Caribbean,1997,1172171.66761,
103101,Caribbean,Caribbean,1998,1184806.304,
103102,Caribbean,Caribbean,1999,1197644.87698,
